0 , 5962 => 0x0
1975 , 1 => 0xa10
1974 , 1 => 0xa11
1811 , 1 => 0xa12
1668 , 1 => 0xa13
1661 , 1 => 0xa14
1656 , 1 => 0xa15
1655 , 1 => 0xa16
1649 , 1 => 0xa17
1648 , 1 => 0xa18
1646 , 1 => 0xa19
1645 , 1 => 0xa1a
1641 , 1 => 0xa1b
1637 , 1 => 0xa1c
1635 , 1 => 0xa1d
1634 , 1 => 0xa1e
1633 , 1 => 0xa1f
1628 , 1 => 0xa20
1621 , 1 => 0xa21
1619 , 1 => 0xa22
1614 , 1 => 0xa23
1610 , 1 => 0xa24
1607 , 1 => 0xa25
1606 , 1 => 0xa26
1583 , 1 => 0xa27
1580 , 1 => 0xa28
1134 , 1 => 0xa29
1132 , 1 => 0xa2a
1.29999995231628 , 1 => 0xa2b
0.95 , 1 => 0xa2c
0.800000011920929 , 1 => 0xa2d
0.550 , 1 => 0xa2e
0.45 , 1 => 0xa2f
.6 , 1 => 0xa30
-80 , 1 => 0xa31
-8 , 1 => 0xa32
-70 , 1 => 0xa33
-40 , 1 => 0xa34
-36 , 1 => 0xa35
-34 , 1 => 0xa36
-25 , 1 => 0xa37
-24 , 1 => 0xa38
-12 , 1 => 0xa39
-0.2 , 1 => 0xa3a
-0.15 , 1 => 0xa3b
-0.05 , 1 => 0xa3c
"yeti_numbingBlows" , 1 => 0xa3d
"yeti_icicleBreath" , 1 => 0xa3e
"yeti_fearsomeYell" , 1 => 0xa3f
"weaponThrow" , 1 => 0xa40
"ursula_summonShield" , 1 => 0xa41
"ursula_lightGuard" , 1 => 0xa42
"ursula_blindingFlash" , 1 => 0xa43
"trampleStart" , 1 => 0xa44
"trampleLoop" , 1 => 0xa45
"trampleEnd" , 1 => 0xa46
"torsoSmash" , 1 => 0xa47
"template_hitBluntC" , 1 => 0xa48
"template_fireBreath" , 1 => 0xa49
"template_fearCast" , 1 => 0xa4a
"template_charmCast" , 1 => 0xa4b
"template_affinityEarthSpear" , 1 => 0xa4c
"template_affinityEarth3Spear" , 1 => 0xa4d
"template_affinityDarkProjectile" , 1 => 0xa4e
"template_affinityAir2Spear" , 1 => 0xa4f
"template_AffHitPoisonL" , 1 => 0xa50
"template_AffHitPoisonH" , 1 => 0xa51
"tailWhirlCombo" , 1 => 0xa52
"tailWhirl" , 1 => 0xa53
"summoner_summonFireAffinityFlash" , 1 => 0xa54
"summoner_summonEarthAffinityFlash" , 1 => 0xa55
"summoner_summonAirAffinityFlash" , 1 => 0xa56
"summoner_SummonFireAffinityFlash" , 1 => 0xa57
"summoner_SummonEarthAffinityFlash" , 1 => 0xa58
"summoner_SummonAirAffinityCast" , 1 => 0xa59
"stench" , 1 => 0xa5a
"stampedeStart" , 1 => 0xa5b
"stampedeLoop" , 1 => 0xa5c
"stampedeEnd" , 1 => 0xa5d
"squat" , 1 => 0xa5e
"splee , 1 => 0xa5f
"smartass" , 1 => 0xa60
"skeleton_splinteringBonesCast" , 1 => 0xa61
"skeleton_splinteringBones" , 1 => 0xa62
"skeleton_shatterSelf" , 1 => 0xa63
"skeleton_covetLife" , 1 => 0xa64
"shieldBypass" , 1 => 0xa65
"shatterSelf" , 1 => 0xa66
"set , 1 => 0xa67
"scarab_poisonSpittle" , 1 => 0xa68
"scarab_fireySpittle" , 1 => 0xa69
"scarab_Contamination" , 1 => 0xa6a
"samnite_Squat" , 1 => 0xa6b
"rottingTouch" , 1 => 0xa6c
"purge" , 1 => 0xa6d
"punch" , 1 => 0xa6e
"pounceStart" , 1 => 0xa6f
"pounceLoop" , 1 => 0xa70
"pounceEnd" , 1 => 0xa71
"poisonFlick" , 1 => 0xa72
"pointBlank" , 1 => 0xa73
"overwhelmStrikeTwo" , 1 => 0xa74
"overwhelmStrikeThree" , 1 => 0xa75
"overwhelmStrikeFour" , 1 => 0xa76
"overwhelmStrikeFive" , 1 => 0xa77
"overrun" , 1 => 0xa78
"ogre_fearsomeFunk" , 1 => 0xa79
"ogre_Stench" , 1 => 0xa7a
"ogre_Purge" , 1 => 0xa7b
"numbingBlows" , 1 => 0xa7c
"nofritari" , 1 => 0xa7d
"murmillo_attackBullRush" , 1 => 0xa7e
"moveLeap" , 1 => 0xa7f
"mongrelshaman_fungusCast" , 1 => 0xa80
"mongrelshaman_feverishCast" , 1 => 0xa81
"mongrel_TorsoSmash" , 1 => 0xa82
"merryjig" , 1 => 0xa83
"maze" , 1 => 0xa84
"madRage" , 1 => 0xa85
"lightningReflexes" , 1 => 0xa86
"lecherousGrin" , 1 => 0xa87
"jugThrow" , 1 => 0xa88
"indirectThrow" , 1 => 0xa89
"idleCover" , 1 => 0xa8a
"icicleBreath" , 1 => 0xa8b
"icarusTakeoff" , 1 => 0xa8c
"icarusLand" , 1 => 0xa8d
"humiliate" , 1 => 0xa8e
"hpregen , 1 => 0xa8f
"hitF" , 1 => 0xa90
"hit" , 1 => 0xa91
"heavenlySpear" , 1 => 0xa92
"hairOfDog" , 1 => 0xa93
"gougingFury" , 1 => 0xa94
"galdr_summonWeapon" , 1 => 0xa95
"fearsomeFunk" , 1 => 0xa96
"eyeBeam" , 1 => 0xa97
"eiji_attackFlashArrow" , 1 => 0xa98
"eiji_attackAcidArrowHitShield" , 1 => 0xa99
"eiji_attackAcidArrow" , 1 => 0xa9a
"dropped , 1 => 0xa9b
"doom , 1 => 0xa9c
"dervish_lightningReflexes" , 1 => 0xa9d
"dervish_boneSpray" , 1 => 0xa9e
"darkGod_Bite" , 1 => 0xa9f
"cyclops_penetratingStare" , 1 => 0xaa0
"cyclops_eyeBeam" , 1 => 0xaa1
"cyclops_Focus" , 1 => 0xaa2
"coverShoot" , 1 => 0xaa3
"counterAttack" , 1 => 0xaa4
"coldShoulder" , 1 => 0xaa5
"clearBlindSpot" , 1 => 0xaa6
"chargingAttackStart" , 1 => 0xaa7
"chargingAttackLoop" , 1 => 0xaa8
"chargingAttackEnd" , 1 => 0xaa9
"channeler_hitReact" , 1 => 0xaaa
"channeler_affinityBoost" , 1 => 0xaab
"chainzigzag" , 1 => 0xaac
"carapiceRam" , 1 => 0xaad
"bullrushStart" , 1 => 0xaae
"bullrushLoop" , 1 => 0xaaf
"bullrushEnd" , 1 => 0xab0
"boneSpray" , 1 => 0xab1
"backhand" , 1 => 0xab2
"backAttack" , 1 => 0xab3
"axeThrow" , 1 => 0xab4
"auto , 1 => 0xab5
"attackSlap" , 1 => 0xab6
"attackComboEnd" , 1 => 0xab7
"ambushStart" , 1 => 0xab8
"ambushLoop" , 1 => 0xab9
"ambushEnd" , 1 => 0xaba
"amazon_coldShoulderCast" , 1 => 0xabb
"always" , 1 => 0xabc
"actswingR" , 1 => 0xabd
"actWings" , 1 => 0xabe
"actSwingStaffHeavy" , 1 => 0xabf
"actSwingBL" , 1 => 0xac0
"actJugBonk" , 1 => 0xac1
"actDualSwingTR" , 1 => 0xac2
"actDualSwingTL" , 1 => 0xac3
"actDualSpinCombo" , 1 => 0xac4
"actAxeSwingU" , 1 => 0xac5
"act2PThrust" , 1 => 0xac6
"Water , 1 => 0xac7
"Tjepu" , 1 => 0xac8
"Solum" , 1 => 0xac9
"Scorpion_Summoned" , 1 => 0xaca
"Scarab_Summoned" , 1 => 0xacb
"Other , 1 => 0xacc
"Mayati" , 1 => 0xacd
"Maritimus" , 1 => 0xace
"Light" , 1 => 0xacf
"Flirt" , 1 => 0xad0
"Fire , 1 => 0xad1
"F,B" , 1 => 0xad2
"Exuro" , 1 => 0xad3
"Earth , 1 => 0xad4
"Divvy , 1 => 0xad5
"Default" , 1 => 0xad6
"DarkGod , 1 => 0xad7
"DarkAffinityWaterGreater" , 1 => 0xad8
"DarkAffinityFireGreater" , 1 => 0xad9
"DarkAffinityEarthGreater" , 1 => 0xada
"DarkAffinityAirGreater" , 1 => 0xadb
"B,B,B,B" , 1 => 0xadc
"B,B,B" , 1 => 0xadd
"Anedjib" , 1 => 0xade
"Air , 1 => 0xadf
"Aeris" , 1 => 0xae0
"AB,BC" , 1 => 0xae1
"<Any>" , 1 => 0xae2
"050.050" , 1 => 0xae3
"049.049" , 1 => 0xae4
"046.046" , 1 => 0xae5
"042.041" , 1 => 0xae6
"041.037" , 1 => 0xae7
"041." , 1 => 0xae8
"039.038" , 1 => 0xae9
"038.000" , 1 => 0xaea
"030.030" , 1 => 0xaeb
"020.020" , 1 => 0xaec
"000.038" , 1 => 0xaed
"000.000" , 1 => 0xaee
